CódigoProducto,Descripción,Precio de venta,Costo de venta,Almacen
B00J0O5J4Y,ALCATEL OneTouch,1683.00,1530.00,7000
B00F3J4B5S,Apple iPhone 5S,1725.00,1500.00,7000
B00NQGP42Y,Apple iPhone 6,2376.00,2200.00,7000
B01LQV1YHO,ASUS ZenFone 3,1624.00,1450.00,7000
B018IZ0SWI,BLU Advance 5.0,1620.00,1350.00,7000
B01EYT1URO,BLU Studio X8,1312.50,1250.00,7000
B015YCRYZM,Huawei Nexus 6P,2013.00,1650.00,7000
B016B7INC2,LG Nexus 5X,1020.00,850.00,7000
B01KBH547A,Moto G Play,1012.00,920.00,7000
B01DZJFWNC,Moto G Plus,998.40,960.00,7000
B016381QZA,Samsung Galaxy J7,2016.50,1850.00,7000
B00K15Q2B0,Samsung Galaxy S5,2167.20,1720.00,7000
